Id,R,Name,Team,Year,Pv,Mv,Fm,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,last_name,first_initial,merge_key
6403,P,Christensen O.,Fiorentina,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6417,P,Furlanetto,Lazio,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6482,P,Mandas,Lazio,2024,0,0.0,0.0,9.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK S,Lazio,0.0,0.0,0.5141101107001305,0.5141101107001305,Mandas,C,Mandas
6505,P,Nava,Milan,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6523,P,Samooja,Lecce,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6650,P,Sherri,Cagliari,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6651,P,Chiorra,Empoli,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6661,P,Chichizola,Parma,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6662,P,Corvi,Parma,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6671,P,Grandi,Venezia,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6682,P,Pizzignacco,Monza,2024,1,6.5,6.5,,,,,,,,,,,,,,,,,,,
6813,P,Torriani,Milan,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6824,P,Marin Re.,Roma,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
254,D,Dimarco,Inter,2024,1,6.0,6.0,30.0,2166.0,5.0,3.2087074536830187,6.0,9.558618923649192,50.0,63.0,0.0,0.0,D S,Inter,5.0,3.2087074536830187,18.552083106711507,12.900610843673348,Dimarco,F,Dimarco
4292,D,Hernandez T.,Milan,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
2816,D,Di Lorenzo,Napoli,2024,1,4.5,4.5,36.0,3235.0,1.0,3.1027365876361728,6.0,5.272171592339873,38.0,51.0,6.0,0.0,D,Napoli,1.0,3.1027365876361728,20.94511530175805,17.020839024335146,Di Lorenzo,G,Di Lorenzo
2120,D,Bastoni,Inter,2024,1,6.5,6.5,,,,,,,,,,,,,,,,,,,
2724,D,Buongiorno,Napoli,2024,0,0.0,0.0,29.0,2531.0,3.0,2.133894484490156,0.0,0.1651349896565079,13.0,4.0,7.0,0.0,D,Torino,3.0,2.133894484490156,6.109036276116967,5.352526945993304,Buongiorno,A,Buongiorno
2788,D,Bremer,Juventus,2024,0,0.0,0.0,36.0,3235.0,3.0,2.343254954554141,0.0,0.3624123577028513,18.0,7.0,9.0,0.0,D,Juventus,3.0,2.343254954554141,10.726232182234526,10.57403377816081,Bremer,B,Bremer
5513,D,Dumfries,Inter,2024,1,6.0,6.0,31.0,1648.0,4.0,3.937063835561275,4.0,4.1486883871257305,24.0,27.0,2.0,1.0,D S,Inter,4.0,3.937063835561275,10.218461418524384,5.086537055671215,Dumfries,D,Dumfries
4177,D,Pavard,Inter,2024,0,0.0,0.0,23.0,1692.0,0.0,0.9082522876560688,2.0,1.2916022017598152,15.0,10.0,6.0,0.0,D S,Inter,0.0,0.9082522876560688,9.948150794953108,9.047635540366173,Pavard,B,Pavard
4237,D,Danilo,Juventus,2024,0,0.0,0.0,29.0,2449.0,1.0,1.11694738548249,1.0,1.23118397872895,17.0,21.0,7.0,0.0,D S,Juventus,1.0,1.11694738548249,10.108822636306286,8.303714914247394,Danilo,D,Danilo
4751,D,Tomori,Milan,2024,1,5.5,5.5,26.0,2133.0,4.0,3.608174130320549,0.0,0.1108320206403732,17.0,4.0,6.0,1.0,D S,AC Milan,4.0,3.608174130320549,8.231157934293151,8.09448311291635,Tomori,F,Tomori
1852,D,Spinazzola,Napoli,2024,1,5.5,5.5,24.0,1297.0,1.0,0.2408232176676392,2.0,3.263167497701943,8.0,27.0,0.0,0.0,D M S,Roma,1.0,0.2408232176676392,5.900873385369778,3.72096349298954,Spinazzola,L,Spinazzola
